Date,Close
2/1/2014,74.57
3/1/2014,75.1
6/1/2014,74.24
7/1/2014,76.51
8/1/2014,75.62
9/1/2014,76.08
10/1/2014,74.7
13/1/2014,73.94
14/1/2014,74.02
15/1/2014,74.84
16/1/2014,72.76
17/1/2014,72.52
21/1/2014,73.16
22/1/2014,73.4
23/1/2014,73.2
24/1/2014,71.6
27/1/2014,71.65
28/1/2014,71.71
29/1/2014,71.26
30/1/2014,72.8
31/1/2014,72.28
3/2/2014,70.74
4/2/2014,70.51
5/2/2014,70.82
6/2/2014,70.87
7/2/2014,71.36
10/2/2014,69.74
11/2/2014,70.62
12/2/2014,70.24
13/2/2014,71.21
14/2/2014,73.52
18/2/2014,73.83
19/2/2014,73.55
20/2/2014,73.48
21/2/2014,73.81
24/2/2014,76.01
25/2/2014,75.32
26/2/2014,76.06
27/2/2014,76.02
28/2/2014,77.27
3/3/2014,77.1
4/3/2014,78.13
5/3/2014,77.99
6/3/2014,77.64
7/3/2014,77.4
10/3/2014,77.88
11/3/2014,77.78
12/3/2014,77.6
13/3/2014,77.01
14/3/2014,75.7
17/3/2014,76.76
18/3/2014,78
19/3/2014,79.96
20/3/2014,81.53
21/3/2014,81.34
24/3/2014,81.28
25/3/2014,81.1
26/3/2014,81.54
27/3/2014,81.02
28/3/2014,81.62
31/3/2014,81.99
1/4/2014,81.84
2/4/2014,81.61
3/4/2014,82.25
4/4/2014,81.53
7/4/2014,81.08
8/4/2014,80.66
9/4/2014,81.39
10/4/2014,79.99
11/4/2014,78.95
14/4/2014,79.18
15/4/2014,79.51
16/4/2014,78.19
17/4/2014,75.78
21/4/2014,74.95
22/4/2014,75.76
23/4/2014,75.33
24/4/2014,76.59
25/4/2014,75.66
28/4/2014,75.74
29/4/2014,75.2
30/4/2014,75.04
1/5/2014,74.95
2/5/2014,75.03
5/5/2014,75.23
6/5/2014,75.26
7/5/2014,77.91
8/5/2014,76.89
9/5/2014,76.95
12/5/2014,77.74
13/5/2014,78.04
14/5/2014,77.17
15/5/2014,76.48
16/5/2014,76.65
19/5/2014,77.2
20/5/2014,76.66
21/5/2014,77.72
22/5/2014,78.34
23/5/2014,78.77
27/5/2014,79.11
28/5/2014,78.58
29/5/2014,79.37
30/5/2014,79.63
2/6/2014,79.47
3/6/2014,79.88
4/6/2014,80.51
5/6/2014,79.8
6/6/2014,79.93
9/6/2014,79.76
10/6/2014,79.81
11/6/2014,80.17
12/6/2014,79.44
13/6/2014,79.18
16/6/2014,78
17/6/2014,78.17
18/6/2014,79.21
19/6/2014,80.51
20/6/2014,81.41
23/6/2014,81.49
24/6/2014,81.74
25/6/2014,82.34
26/6/2014,82.29
27/6/2014,82
30/6/2014,81.75
1/7/2014,81.89
2/7/2014,82.49
3/7/2014,83.35
7/7/2014,82.22
8/7/2014,81.93
9/7/2014,82.74
10/7/2014,82.08
11/7/2014,82.87
14/7/2014,84.27
15/7/2014,83.9
16/7/2014,83.76
17/7/2014,85.11
18/7/2014,85.52
21/7/2014,85.06
22/7/2014,86.05
23/7/2014,85.94
24/7/2014,85.68
25/7/2014,84.68
28/7/2014,85.75
29/7/2014,84.27
30/7/2014,82.95
31/7/2014,81.05
1/8/2014,81.49
4/8/2014,82.27
5/8/2014,80.99
6/8/2014,81.5
7/8/2014,79.26
8/8/2014,80.12
11/8/2014,79.87
12/8/2014,80.22
13/8/2014,81.51
14/8/2014,81.82
15/8/2014,81.47
18/8/2014,82.34
19/8/2014,83.47
20/8/2014,83.43
21/8/2014,83.77
22/8/2014,83.78
25/8/2014,84.24
26/8/2014,85.12
27/8/2014,86.38
28/8/2014,86.34
29/8/2014,86.68
2/9/2014,86.39
3/9/2014,86.79
4/9/2014,87.06
5/9/2014,87.75
8/9/2014,87.91
9/9/2014,88.56
10/9/2014,87.25
11/9/2014,87.08
12/9/2014,86.18
15/9/2014,86.03
16/9/2014,87.16
17/9/2014,86.99
18/9/2014,87.63
19/9/2014,87.8
22/9/2014,87.77
23/9/2014,86.59
24/9/2014,88.21
25/9/2014,86.18
26/9/2014,86.6
29/9/2014,86.51
30/9/2014,86.25
1/10/2014,84.88
2/10/2014,84.9
3/10/2014,86.02
6/10/2014,85.09
7/10/2014,84.19
8/10/2014,86.62
9/10/2014,84.94
10/10/2014,85.39
13/10/2014,83.95
14/10/2014,82.82
15/10/2014,82.16
16/10/2014,85.39
17/10/2014,88.18
20/10/2014,88.54
21/10/2014,90.95
22/10/2014,89.77
23/10/2014,90.66
24/10/2014,91.64
27/10/2014,92.13
28/10/2014,92.64
29/10/2014,92.96
30/10/2014,93.88
31/10/2014,95.01
3/11/2014,94.86
4/11/2014,94.98
5/11/2014,95.8
6/11/2014,96.21
7/11/2014,93.61
10/11/2014,94.75
11/11/2014,95.69
12/11/2014,95.68
13/11/2014,95.9
14/11/2014,95.11
17/11/2014,96.47
18/11/2014,98.19
19/11/2014,96.86
20/11/2014,96.85
21/11/2014,96.71
24/11/2014,96.9
25/11/2014,97.9
26/11/2014,98.11
28/11/2014,98.63
1/12/2014,99.06
2/12/2014,99.83
3/12/2014,100.8
4/12/2014,99.67
5/12/2014,100.33
8/12/2014,99.92
9/12/2014,101.02
10/12/2014,99.09
11/12/2014,99.73
12/12/2014,98.76
15/12/2014,98.27
16/12/2014,95.85
17/12/2014,99.14
18/12/2014,102.24
19/12/2014,102.49
22/12/2014,103.04
23/12/2014,102.85
24/12/2014,102.68
26/12/2014,102.55
29/12/2014,102.33
30/12/2014,102.85
31/12/2014,101.09
2/1/2015,100.78
5/1/2015,99.12
6/1/2015,98.92
7/1/2015,99.93
8/1/2015,104.7
9/1/2015,103.72
12/1/2015,102.55
13/1/2015,103.07
14/1/2015,103.33
15/1/2015,104.46
16/1/2015,105.77
20/1/2015,105.62
21/1/2015,109.32
22/1/2015,113.85
23/1/2015,112
26/1/2015,111.61
27/1/2015,110.01
28/1/2015,108.46
29/1/2015,109.39
30/1/2015,106.25
2/2/2015,107.29
3/2/2015,107.81
4/2/2015,107.92
5/2/2015,108.82
6/2/2015,107.6
9/2/2015,106.49
10/2/2015,108.97
11/2/2015,109.85
12/2/2015,109.84
13/2/2015,109.44
17/2/2015,109.76
18/2/2015,109.77
19/2/2015,110.03
20/2/2015,112.62
23/2/2015,116.4
24/2/2015,115.43
25/2/2015,114.05
26/2/2015,113.66
27/2/2015,113.63
2/3/2015,114.4
3/3/2015,112.86
4/3/2015,113.82
5/3/2015,114.79
6/3/2015,112.88
9/3/2015,114.9
10/3/2015,112.46
11/3/2015,112.72
12/3/2015,114.88
13/3/2015,115.25
16/3/2015,118.52
17/3/2015,117.6
18/3/2015,119.96
19/3/2015,120.76
20/3/2015,119.14
23/3/2015,119.04
24/3/2015,118.12
25/3/2015,116.54
26/3/2015,116.25
27/3/2015,118.01
30/3/2015,121
31/3/2015,118.29
1/4/2015,117.45
2/4/2015,117.36
6/4/2015,117.7
7/4/2015,117.35
8/4/2015,118.19
9/4/2015,118.55
10/4/2015,119
13/4/2015,119.37
14/4/2015,119.92
15/4/2015,117.32
16/4/2015,121.6
17/4/2015,118.71
20/4/2015,118.58
21/4/2015,119.28
22/4/2015,117.81
23/4/2015,118.26
24/4/2015,118.69
27/4/2015,116.24
28/4/2015,117.59
29/4/2015,113.61
30/4/2015,111.4
1/5/2015,113.2
4/5/2015,114.56
5/5/2015,113.37
6/5/2015,113.49
7/5/2015,114.76
8/5/2015,115.68
11/5/2015,114.77
12/5/2015,114.64
13/5/2015,115.86
14/5/2015,118.53
15/5/2015,119.33
18/5/2015,119.8
19/5/2015,120.55
20/5/2015,121.24
21/5/2015,120.46
22/5/2015,119.59
26/5/2015,118.24
27/5/2015,119.45
28/5/2015,119.62
29/5/2015,120.21
1/6/2015,119.86
2/6/2015,117.75
3/6/2015,118.35
4/6/2015,116.65
